analysis_id,CE 18:1,Cer d18:1/16:0,Cer d18:1/24:0,LPC 18:1 (a),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 40:6,PC 40:8,PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 34:1,SM 32:1,SM 34:1,TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_BLANK-01 (Eluent A),4.471608515843741,10.704023991010791,16.801508231005513,3.0118779935601023,6.07095806438348,5.546207805496777,1.7442882788092546,0.9352530895524341,0.027643298286156564,4494.509663233441,1.339888557420669,2.1445006034850667,19.313114392973823,2.664253746022691,50.327660337511226,136.27612292921432,5.14683599481799,51.15306296561547,40.530269885331045,2.922919031229994
Longit_B-ISTD 01 Extr,0.0019201847475959822,5.052202049474738e-4,0.004676388880361349,0.0011134563826565578,0.002786821935421213,0.0011899135173441568,7.441295590630982e-4,5.88011519409203e-4,3.214338409587823e-5,0.7832131494127123,0.001699753899318852,6.40399568042502e-5,0.0017110746275121138,0.005194530526428259,0.02701010731035469,0.017920934873438196,0.0720070897596265,0.007521587599568489,0.006959124311432171,0.05038142229564101
Longit_Un-ISTD 01 Unextr,4.04971278391237e-4,3.886828812808473e-4,0.005220857953414606,7.720117154001729e-4,0.0018259174572877802,7.243658811534471e-4,4.732701373710027e-4,3.4837063273285956e-5,5.316730379855817e-7,0.7353514016118367,4.19697563400339e-4,2.2954185257404134e-5,0.006518188890757127,0.0029983733693429255,0.005753230591745778,0.013669628210826557,0.05501138864420218,0.007354298102842378,0.006238341817728335,0.032242063893235334
Longit_LTR 01,3.645154194956879,112.30145336328121,1625.2608430952528,0.3157838205857544,1.2636906053534358,0.1850323646356643,0.4129101895720622,0.2883789789936591,0.024043589469036165,5.8952611180993,0.5207461280311603,0.8113332005847415,4.542662758498081,5.28798941972075,87.82658416124876,1.5951290862233996,3.2766506350236964,1.245543864618579,0.7368288217215183,3.2347752121195192
Longit_TQC-10%,3.3453548776048336,0.03965529749041889,0.5317459756002425,0.21076263685529392,0.7326365389612199,0.033870746082903795,0.4943523721840233,0.7069441824839028,0.024411446696305013,7.345665553102364,0.41173887457208086,0.39341390823497474,2.9924176145501793,3.8808299432859426,57.94132448552442,1.7414174578630088,2.7566664617401595,0.5515996396768295,1.0865468648860646,2.219333617449005
Longit_TQC-20%,3.364777002832792,0.03418834496797244,0.5790218522497111,0.2548336880340232,0.798819582984184,0.030919241454500528,0.5101217041279623,0.7196671835324795,0.03190672598360902,8.066836509225036,0.736037904747151,1.1632410611158248,3.1169943542084404,4.646535168892395,72.67321331407905,1.5535056131982534,2.9568736276011305,0.6829562285490804,1.223254730022532,2.6295915890689576
Longit_TQC-40%,3.5793056062411077,0.030107713694162236,0.48709816968965314,0.26998274337997485,0.7365980921114968,0.0333910752092895,0.6188927052763377,0.6473354496335169,0.04005509830459678,4.654574435224961,0.4958835252223194,0.6659240881474583,3.5255922112342772,4.24964798067576,63.41276449403687,1.4637677108512042,2.9334110535321756,0.6064149221465335,1.0620664168526215,2.5600267475112584
Longit_TQC-60%,3.7881221036457076,0.02910212368053465,0.5968712180885982,0.2571514143094842,0.7213480787834229,0.030099556388211813,0.4354429659841535,0.5844265171128242,0.028729036166192802,4.3950038338659985,0.5540531273763408,0.6686161373028674,2.22158351419639,4.167406431863326,67.40153340033946,1.5039364637463304,3.1645813029964427,0.6280477156223302,1.4498238681328584,3.213384079976551
Longit_TQC-80%,2.6072730046820363,0.032951746011942375,0.6214636531927071,0.25249524071256646,0.7389926896754917,0.04039659390191739,0.5191281317890237,0.5772997974736481,0.046069391467607905,4.1076141900518515,0.713412879873542,0.8302687776301277,2.985412724374503,4.944028023648377,65.50637683545709,1.327115902958553,3.3753073269015568,0.6039113171505684,1.3473519352356647,3.51391706198583
Longit_TQC-100%,3.4248663109596107,0.027949865551250216,0.6151080372964502,0.22967537978894884,0.8047181507350626,0.03687349171521784,0.516071685845115,0.6422607999425984,0.04103074227343056,4.435407692884876,0.5926349256644147,0.768956801255448,2.3350943938197326,6.328904933356724,66.51497661742592,1.4015345275339024,3.5160807970843213,0.7298108456032818,1.341247543086999,3.916122837783941
