analysis_id,CE 18:1,Cer d18:1/16:0,Cer d18:1/24:0,LPC 18:1 (a),LPC 18:1 (b),PC 28:0|SM 34:1 M+3,PC 32:1,PC 40:6,PC 40:8,PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 34:1,SM 34:1,TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_BLANK-01 (Eluent A),1.156061103472271,0.1401003464544908,0.2257458970064245,0.06065316334449033,0.12988165440655317,0.6075391245082055,0.14150483326221874,0.08559727497112833,8.061880486927192e-4,14.720682258739911,0.005443413821508879,0.003570461465892803,0.0982840011757131,0.8876002697325835,4.11119016274187,0.1442568348028299,1.7722137541236314,1.4180016136441318,0.13406292116711557
Longit_B-ISTD 01 Extr,4.90415102295518e-4,6.619855011175879e-6,6.288698993199644e-5,2.241596497722904e-5,5.95629406022999e-5,1.272567408935092e-4,6.033705465306225e-5,5.3776322424651066e-5,9.923008839989688e-7,0.0025626112699334443,6.881683427600432e-6,1.111390680493695e-7,8.718011054336828e-6,4.764290375641008e-4,5.398771631272983e-4,0.002013576379697855,2.600070704072403e-4,2.4322194063119057e-4,0.0022229605790520437
Longit_Un-ISTD 01 Unextr,1.0217598862381915e-4,5.098457598094627e-6,7.027011399457028e-5,1.553732572742828e-5,3.8987409756458444e-5,7.56328855085957e-5,3.8355459538856066e-5,3.1836204050330247e-6,1.737407540858734e-8,0.0024035592224240735,1.693366885448746e-6,4.15236140423858e-8,3.325013048579077e-5,1.0149506445204719e-4,4.112230953005521e-4,0.0015347662383546014,2.536577004106833e-4,2.1780520185365703e-4,0.0013685277747353536
Longit_LTR 01,0.9085405910899583,1.4747024662261896,21.894268765972743,0.006353461517151586,0.026956303027444815,0.018861996836197804,0.033446927373529764,0.026334059930587524,8.316903334369103e-4,0.019249528227715865,0.002093855152419456,0.0015298542391540427,0.023200367115939754,1.5496026977933577,0.04791849049374219,0.09120455890268755,0.04286442763109278,0.02569902289468562,0.13208221167257678
Longit_TQC-10%,0.823710175696956,5.213097811017116e-4,0.00716952158627056,0.004239184334466567,0.015612932383372106,0.003370947718828457,0.04002393529885479,0.0645080363691925,8.938428124973999e-4,0.023961021927875848,0.0016498650750753569,7.732466699050714e-4,0.015301165457925913,1.022454567607785,0.052239220497107525,0.07655391603452948,0.01894057490323225,0.03785727889105025,0.08717506139031157
Longit_TQC-20%,0.8184503311102939,4.4993354157781077e-4,0.007813749989414887,0.0051240536356377524,0.017006734769536635,0.0030043004978717747,0.0412799826051933,0.06561979572943531,0.0012366738052122198,0.026286610011512338,0.002939224149781794,0.0023831732515564243,0.015957184734315226,1.282599875126738,0.04653643604275643,0.08192429875291138,0.02339878109108839,0.04257638268214509,0.09936362254149124
Longit_TQC-40%,0.8600795620083729,3.9666483532573704e-4,0.006578996370516762,0.005427014511563441,0.015666758778443906,0.003167613811314458,0.05005686030327114,0.05898030889110572,0.0016433724643864932,0.01515194719052502,0.001973413875851878,0.0014220935263553752,0.01807050475089628,1.119321242319269,0.043786371312072886,0.08108670870703939,0.02073010132075718,0.03692788706078939,0.09305786010293726
Longit_TQC-60%,0.8992234454160908,3.838364709042923e-4,0.00806867789075263,0.005167518539082332,0.0153274454010635,0.0027877203423373105,0.03520157215644018,0.05320862575967019,0.0012476838243011758,0.014292390306901687,0.0021973330044202347,0.0014883251885140438,0.011400366093396546,1.1898961658070535,0.044924451291965616,0.0872749857265681,0.021421770715058762,0.05035805562049934,0.1123674798256069
Longit_TQC-80%,0.6114120107109133,4.3508651039709124e-4,0.00840845234125564,0.005072411423642824,0.01568705329125419,0.0036527600377174985,0.0419457421949184,0.05252039842782279,0.0021178795117196554,0.013344195508566538,0.0028196252095467216,0.0019264477172730417,0.015338344283663475,1.156602419539864,0.03958664030506825,0.09287175032650526,0.020552614462258173,0.04675043799133458,0.11820584553481128
Longit_TQC-100%,0.79340491540241,3.694473379007488e-4,0.008329718544845197,0.004612579536644461,0.017065591988340695,0.003255202005055816,0.04167790590768204,0.05838650781712857,0.001996656846942288,0.014394395709724632,0.0023342300293876955,0.0018597647244440413,0.012011479147187738,1.1745761796245275,0.04174746337053993,0.09652191609913312,0.024781945719654003,0.04649053013065122,0.1267281798520773
Longit_batch1_TQC01,0.7024928695403251,3.59341310446621e-4,0.00946897527266532,0.0047375970295776585,0.016399761029967916,0.004134679997273937,0.05072361482978078,0.06117193632253182,0.0027633664703559627,0.017468111942186698,0.0030550812938312673,0.002573573910913975,0.010348003879575211,1.338331908238745,0.0413470909478392,0.10210518392712348,0.026498822842870418,0.05217370962612863,0.11669501357378954
Longit_batch1_TQC02,0.6746235202418379,4.375592473921096e-4,0.0096516121136737,0.005071334601975751,0.016477703610095124,0.0036149891130497257,0.046842953586547505,0.054278754125485405,0.0026715522729019773,0.013194476859916048,0.0026931970707612953,0.0020119002032798856,0.013250599805340732,1.0766009589216705,0.04123841598079992,0.08468611250528892,0.023924675030849996,0.04956811816742214,0.08904122462883506
