ANALYSIS_ID,Cer 18:1;O2/16:0,Cer 18:1;O2/18:0,Cer 18:1;O2/24:0,Cer 18:1;O2/24:1,Cer 18:1;O2/16:0[d7],Cer 18:1;O2/18:0[d7],Cer 18:1;O2/24:0[d7],Cer 18:1;O2/24:1[d7]
YAA 3-2,8556.38451424,2071.24311601,91360.85871303,23256.58761395,11060.66955198,6764.24160524,158892.25548025,43944.37355527
YAA 4-2,8441.03098254,2498.14683842,104382.81291614,27899.35230249,NA,NA,NA,NA
YAA 5-2,5955.57883607,2230.13272589,94671.54373811,22798.89477496,10380.61366169,7407.04334309,164796.19176251,47200.00530154
YAA 6-2,6463.89743553,2458.63733883,105409.87305161,27612.51062341,10974.53554698,7672.18805161,176350.84514636,48262.84111192
YAA 1-3,7991.05247278,2539.83368159,106585.20344458,28521.00620337,15273.44066667,9082.32240624,198270.39028715,57222.06964019
YAA 2-3,7761.12051479,2686.83963325,96399.31755872,23114.05530267,11354.14180389,7697.45979951,172808.64189839,48740.27990484
YAA 3-3,9135.78409087,2411.89576884,107766.09235876,28243.04856957,12823.47758579,8491.09868102,191271.70785550,55725.63043235
YAA 4-3,10410.45057485,3006.92029913,116777.60189697,30994.68591622,NA,NA,NA,NA
YAA 5-3,9218.21334748,2698.78908862,108658.27992368,28450.71247198,13006.75295105,8517.46525189,189187.16475136,54409.98699665
YAA 6-3,9828.72694504,2620.24765641,108122.25151441,27334.03822215,11771.13244569,8341.38409913,185471.73599412,53592.40947709
MQC 1-1,9591.95032438,3510.40492333,148448.81461739,37093.97413847,8289.37247665,8031.00613509,193538.23078403,51745.22563867
MQC 2-1,9858.99794052,3830.33474697,152244.75618020,41841.15600567,7690.88005993,7316.15839489,169102.79800386,46829.08656383
MQC 3-1,10774.84749417,3702.50348846,155475.71176754,40620.51674213,6205.60786848,5711.23982743,132636.32694863,35726.99298017
MQC 4-1,8841.13790864,3453.49097671,157311.72809631,41040.98778159,8607.83371426,7329.03154506,170232.36747255,47906.48612820
MQC 5-1,8181.55017031,3814.58736886,143161.22160593,37634.18538410,8077.35943189,8185.13716543,187270.07596986,50916.76455686
MQC 6-1,9532.65296827,4070.97845388,163054.89596463,41855.90059222,7763.01635830,7134.87179240,176902.24021559,46917.19004442
MQC 1-2,7847.79798669,3262.94951677,135220.81426528,36176.56903467,8179.26246078,8135.08344391,179495.15428317,49259.89622159
MQC 2-2,11008.12769857,3990.81686555,164965.63156163,44747.59894156,8161.54690758,7915.17560733,179904.24623040,50988.94277152
MQC 3-2,8934.28178027,4091.67790800,156159.78190474,41851.28779800,6499.78899500,5971.52726837,132692.23015101,37370.24322995
MQC 4-2,12107.73560491,4312.47991692,169065.89582163,47693.88107931,9286.62892422,8501.31556015,191471.34660767,53859.85812891
MQC 5-2,8984.56483735,3248.44378708,131796.01876888,34034.44807050,7677.65316833,7438.02888211,170758.42474627,47140.70742824
MQC 6-2,10804.79660540,3978.79853372,161987.12039012,43948.33944586,7623.32083872,7500.41083322,172228.80726962,48243.85255396
MQC 1-3,7045.16963406,3071.16026577,115930.02607938,31525.90003671,6916.17461884,6597.82590932,150850.00064434,42837.16732770
MQC 2-3,10759.29478266,3829.34814105,159937.09484285,42998.69628949,8406.36994646,7622.79639363,175667.47120767,48775.25543696
MQC 3-3,11668.73564304,4262.62696587,166713.03546209,46366.31131317,7281.11847593,6374.46325232,141026.48915767,40678.77307645
MQC 4-3,12362.49137774,4664.57476985,165921.98464149,46744.44738602,9955.88046748,8846.13876434,187315.83270699,53668.23929007
MQC 5-3,10394.23092896,3723.63033218,149702.59705815,40669.66786339,8699.90011096,8610.07243753,194427.47663867,54297.27281456
MQC 6-3,12485.20930250,4911.73481794,185079.18942285,50343.74419868,9136.70471294,8814.46630695,201033.81218833,56554.31246320
PBLK 1-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 2-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 3-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 1-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 2-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 3-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBLK 1-3,0.00000000,0.00000000,0.00000000,346.79106952,0.00000000,0.00000000,0.00000000,35.57922934
PBLK 2-3,0.00000000,0.00000000,0.00000000,127.11385046,0.00000000,0.00000000,0.00000000,90.73197217
PBLK 3-3,0.00000000,0.00000000,0.00000000,105.62941698,0.00000000,0.00000000,0.00000000,100.47425272
MBLK 1-1,9709.39578925,3799.53739125,162960.71662780,41242.59912985,0.00000000,0.00000000,0.00000000,0.00000000
MBLK 2-1,8243.91721267,3713.96092707,154369.16340851,41974.05036462,0.00000000,0.00000000,0.00000000,0.00000000
MBLK 1-2,9586.76125713,4627.66582189,172295.91651246,47501.29594770,0.00000000,0.00000000,0.00000000,0.00000000
MBLK 2-2,9336.06798963,4105.23094675,164804.21086156,43100.71565695,0.00000000,0.00000000,0.00000000,0.00000000
MBLK 2-3,10082.83112595,4376.76802319,168844.67953874,46948.21954861,0.00000000,0.00000000,0.00000000,36.78996377
MBLK 3-3,13028.41587600,4953.01079525,171894.17381706,53225.37223297,0.00000000,0.00000000,0.00000000,56.48419768
