analysis_id,qc_type,CE 18:1,CE 18:1 d7 (ISTD),Cer d18:1/16:0,Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),LPC 18:1 (a),LPC 18:1 (ab) d7 (ISTD),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 33:1 d7 (ISTD),PC 40:6,PC 40:8,PE 33:1 d7 (ISTD),PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 33:1 d7 (ISTD),PI 34:1,SM 32:1,SM 34:1,SM 36:2 d9 (ISTD),TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:1 d7 (ISTD) [-15:0],TG 48:1 d7 (ISTD) [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_batch4_47,SPL,1608910,287137.13,51733.31,1583147.9,1563209.8,1774078.6,4733539,5384547,138482.78,2497115.3,3799185.5,3382157.5,194307.53,34606.168,179103.63,30987.434,27250.22,24783.379,154670.84,3441884.8,39879468,466132.66,2100326.8,9274401,1350214.1,1860415.1,2495256,1776684.9,8056774
Longit_batch4_48,SPL,1233191.8,317424.88,47228.3,1122269.1,1336283.9,962788.25,4932066.5,4113958,53518.246,2088052.5,3691283,4855068,138099.55,33534.67,125558.266,19711.172,22908.324,26689.32,41858.49,2943560.5,38220904,493601.13,643876.4,1814035.8,1577747.1,1917584,665745.4,618670.8,2514592.3
Longit_batch4_49,SPL,916377.9,295635.8,38565.07,914435.06,1356064,1174427.6,4191089.5,4045153,109292.32,1290222.9,4189674.5,3433127.5,140905.73,41499.434,162907.31,20861.668,19786.07,21268.834,76822.86,2158792.8,28622596,560225.56,3806757.3,12025492,1450116.9,1547708.1,3483796.3,2512264.8,11642349
Longit_batch4_50,SPL,1255539.1,306661.72,31523.123,930528.94,1422542.8,1204932.9,4327514.5,3339534,41141.094,1434986.8,4152173.5,4232201.5,109184.81,36039.746,116064.99,22141.873,21333.086,22595.186,56335.563,1622757.1,27157558,602579,1668026.4,4943843,1461266.4,1809609,1293383.5,1053610.3,6408708
Longit_batch4_PQC 34,BQC,1218902.5,314045.7,64672.316,1509032.9,1489322.4,1084088.3,4331798,4103788.5,96760.18,1789731.4,3933797.8,3333072,135593.88,29304.41,142072.72,24251.387,29830.27,27791.49,79748.195,3111482.8,40130816,585716.2,2255544.3,7689261,1401649.3,1604702.9,2097658,1885833.1,7355478.5
Longit_batch4_51,SPL,1098317,321382.7,31018.26,787000.56,1491959,1548009.8,4610194,5395760.5,47068.414,1206602.9,3888063.3,3706673.3,135990.13,38640.668,130797.61,13858.211,18643.455,28279.64,58134.55,1867960.1,30764788,524996.1,1170738.3,4218706,1505379.5,1692268.1,1304310.4,859978.5,4138330.3
Longit_batch4_52,SPL,1084448.9,330032.03,58463.305,1651573,1360614.1,743216,4512191.5,3235802.5,192455.1,1718849.3,4187604.5,3498163.5,140160.25,35357.598,138562.27,29186.793,37287.508,27597.268,95060.625,3477988.3,35745990,530025.4,1865635,6018987.5,1469119.9,1676102,1953741.5,2818416.3,8839369
Longit_batch4_53,SPL,806181.75,270289.25,42117.742,775750.3,1354192.4,895577.5,4664641,3110549.5,308699.97,1502875.3,3516767.8,7273203.5,196396.77,29925.773,137714.86,16464.361,14787.718,23102.111,92612.43,4032575.5,29666136,482664.63,2927428,8618198,1110921,1256177.8,2066264.8,2536881,8744995
Longit_batch4_54,SPL,1398620.9,279750.16,65245.38,1744795.3,1479416.8,1174533.4,4148081.3,4725970.5,256044.44,2138589.5,4411307,3644209.3,91666.414,32589.635,126383.836,18376.598,21870.352,26968.15,56929.184,4029900,41196852,620003.8,2325669.3,6351464.5,1253799.1,1650283.9,1941702.9,2749971.5,9597456
Longit_batch4_55,SPL,1105859.6,333236.1,59896.953,1334650.9,1471141.5,1001248,4606072,4004240.5,44176.31,1798307.5,3309957.3,2832017.8,129542.8,38422.438,109719.44,19679.736,21982.783,21009.36,41471.07,3067205.5,35549900,592342.06,1494856.9,4282237,1470707.9,1787303,1348339.3,1245001.6,5675319.5
